Date,Volume,Close
10/3/2022 16:00:00,98363541,242.4
10/4/2022 16:00:00,109578535,249.44
10/5/2022 16:00:00,86982673,240.81
10/6/2022 16:00:00,69298437,238.13
10/7/2022 16:00:00,83916800,223.07
10/10/2022 16:00:00,67925018,222.96
10/11/2022 16:00:00,77013202,216.5
10/12/2022 16:00:00,66860699,217.24
10/13/2022 16:00:00,91483045,221.72
10/14/2022 16:00:00,94124511,204.99
10/17/2022 16:00:00,79428810,219.35
10/18/2022 16:00:00,75891905,220.19
10/19/2022 16:00:00,66571479,222.04
10/20/2022 16:00:00,117798062,207.28
10/21/2022 16:00:00,75713754,214.44
10/24/2022 16:00:00,100446765,211.25
10/25/2022 16:00:00,96507870,222.42
10/26/2022 16:00:00,85327078,224.64
10/27/2022 16:00:00,61638824,225.09
10/28/2022 16:00:00,69152386,228.52
10/31/2022 16:00:00,61554341,227.54
11/1/2022 16:00:00,62688822,227.82
11/2/2022 16:00:00,63070293,214.98
11/3/2022 16:00:00,56538848,215.31
11/4/2022 16:00:00,98622212,207.47
11/7/2022 16:00:00,93916520,197.08
11/8/2022 16:00:00,128803404,191.3
11/9/2022 16:00:00,127062659,177.59
11/10/2022 16:00:00,132703015,190.72
11/11/2022 16:00:00,114403575,195.97
11/14/2022 16:00:00,92226649,190.95
11/15/2022 16:00:00,91293785,194.42
11/16/2022 16:00:00,66567599,186.92
11/17/2022 16:00:00,64335970,183.17
11/18/2022 16:00:00,76048866,180.19
11/21/2022 16:00:00,92882712,167.87
11/22/2022 16:00:00,78452327,169.91
11/23/2022 16:00:00,109536709,183.2
11/25/2022 13:05:00,50672739,182.86
11/28/2022 16:00:00,93038148,182.92
11/29/2022 16:00:00,83357111,180.83
11/30/2022 16:00:00,109186404,194.7
12/1/2022 16:00:00,80046213,194.7
12/2/2022 16:00:00,73645922,194.86
12/5/2022 16:00:00,93122667,182.45
12/6/2022 16:00:00,92150823,179.82
12/7/2022 16:00:00,84213284,174.04
12/8/2022 16:00:00,97624491,173.44
12/9/2022 16:00:00,104872336,179.05
12/12/2022 16:00:00,109794471,167.82
12/13/2022 16:00:00,175862722,160.95
12/14/2022 16:00:00,140682338,156.8
12/15/2022 16:00:00,122334459,157.67
12/16/2022 16:00:00,139032175,150.23
12/19/2022 16:00:00,139390634,149.87
12/20/2022 16:00:00,159563267,137.8
12/21/2022 16:00:00,145417412,137.57
12/22/2022 16:00:00,210090250,125.35
12/23/2022 16:00:00,166989688,123.15
12/27/2022 16:00:00,208643444,109.1
12/28/2022 16:00:00,221070537,112.71
12/29/2022 16:00:00,221923313,121.82
12/30/2022 16:00:00,157777339,123.18
1/3/2023 16:00:00,231402818,108.1
1/4/2023 16:00:00,180388976,113.64
1/5/2023 16:00:00,157986324,110.34
1/6/2023 16:00:00,220911051,113.06
1/9/2023 16:00:00,190283951,119.77
1/10/2023 16:00:00,167642485,118.85
1/11/2023 16:00:00,183810771,123.22
1/12/2023 16:00:00,169400913,123.56
1/13/2023 16:00:00,180714119,122.4
1/17/2023 16:00:00,186476985,131.49
1/18/2023 16:00:00,195680318,128.78
1/19/2023 16:00:00,170291880,127.17
1/20/2023 16:00:00,138858136,133.42
1/23/2023 16:00:00,203119211,143.75
1/24/2023 16:00:00,158699056,143.89
1/25/2023 16:00:00,192734347,144.43
1/26/2023 16:00:00,234815090,160.27
1/27/2023 16:00:00,306590613,177.9
1/30/2023 16:00:00,230878807,166.66
1/31/2023 16:00:00,196813541,173.22
2/1/2023 16:00:00,213806323,181.41
2/2/2023 16:00:00,217448287,188.27
2/3/2023 16:00:00,232662023,189.98
2/6/2023 16:00:00,186188131,194.76
2/7/2023 16:00:00,186010325,196.81
2/8/2023 16:00:00,180673644,201.29
2/9/2023 16:00:00,215431442,207.32
2/10/2023 16:00:00,204754129,196.89
2/13/2023 16:00:00,172475452,194.64
2/14/2023 16:00:00,216455708,209.25
2/15/2023 16:00:00,182108581,214.24
2/16/2023 16:00:00,229586538,202.04
2/17/2023 16:00:00,213738549,208.31
2/21/2023 16:00:00,180018588,197.37
2/22/2023 16:00:00,191828457,200.86
2/23/2023 16:00:00,146359950,202.07
2/24/2023 16:00:00,142228105,196.88
2/27/2023 16:00:00,161028315,207.63
2/28/2023 16:00:00,153144912,205.71
3/1/2023 16:00:00,156852790,202.77
3/2/2023 16:00:00,181979154,190.9
3/3/2023 16:00:00,154193277,197.79
3/6/2023 16:00:00,128100106,193.81
3/7/2023 16:00:00,148125790,187.71
3/8/2023 16:00:00,151897763,182
3/9/2023 16:00:00,170023794,172.92
3/10/2023 16:00:00,191488872,173.44
3/13/2023 16:00:00,167790256,174.48
3/14/2023 16:00:00,143717897,183.26
3/15/2023 16:00:00,145995583,180.45
3/16/2023 16:00:00,121374453,184.13
3/17/2023 16:00:00,133197140,180.13
3/20/2023 16:00:00,129684359,183.25
3/21/2023 16:00:00,153391444,197.58
3/22/2023 16:00:00,150376373,191.15
3/23/2023 16:00:00,144193876,192.22
3/24/2023 16:00:00,116531584,190.41
3/27/2023 16:00:00,120851587,191.81
3/28/2023 16:00:00,98654635,189.19
3/29/2023 16:00:00,123660026,193.88
3/30/2023 16:00:00,110252238,195.28
3/31/2023 16:00:00,170222118,207.46
4/3/2023 16:00:00,169545900,194.77
4/4/2023 16:00:00,126463845,192.58
4/5/2023 16:00:00,133882493,185.52
4/6/2023 16:00:00,123857932,185.06
4/10/2023 16:00:00,142154637,184.51
4/11/2023 16:00:00,115770892,186.79
4/12/2023 16:00:00,150256278,180.54
4/13/2023 16:00:00,112932985,185.9
4/14/2023 16:00:00,96438664,185
