Date,Close,Volume
10/3/22 16:00,31.09,34591712
10/4/22 16:00,32.38,39758744
10/5/22 16:00,31.92,35791137
10/6/22 16:00,31.46,40891904
10/7/22 16:00,30.75,52304648
10/10/22 16:00,30.66,37669106
10/11/22 16:00,29.77,58123991
10/12/22 16:00,29.86,36137903
10/13/22 16:00,31.69,67671021
10/14/22 16:00,31.7,58172786
10/17/22 16:00,33.62,88896788
10/18/22 16:00,34.88,81937931
10/19/22 16:00,33.92,43139852
10/20/22 16:00,33.7,39549112
10/21/22 16:00,34.95,54870269
10/24/22 16:00,35.07,33765556
10/25/22 16:00,35.39,37132262
10/26/22 16:00,35.7,41113536
10/27/22 16:00,35.87,35261850
10/28/22 16:00,36.18,31659107
10/31/22 16:00,36.04,32565539
11/1/22 16:00,36.2,29913153
11/2/22 16:00,36.09,57380608
11/3/22 16:00,35.89,30046473
11/4/22 16:00,36.79,39369359
11/7/22 16:00,37.01,37533674
11/8/22 16:00,37.11,32664337
11/9/22 16:00,36.52,30164384
11/10/22 16:00,38.13,45702792
11/11/22 16:00,38.41,35688704
11/14/22 16:00,37.76,35541395
11/15/22 16:00,37.7,46082834
11/16/22 16:00,37.36,23813033
11/17/22 16:00,37.17,23693419
11/18/22 16:00,37.19,32041751
11/21/22 16:00,37.31,27935743
11/22/22 16:00,37.49,23499319
11/23/22 16:00,37.61,18934684
11/25/22 13:00,37.7,16118501
11/28/22 16:00,36.86,35446544
11/29/22 16:00,37,27048797
11/30/22 16:00,37.85,51747855
12/1/22 16:00,36.55,46213201
12/2/22 16:00,36.08,42295326
12/5/22 16:00,34.47,71386649
12/6/22 16:00,33,84085689
12/7/22 16:00,32.74,49234137
12/8/22 16:00,32.44,45491146
12/9/22 16:00,32.38,36985545
12/12/22 16:00,32.73,41060489
12/13/22 16:00,32.75,54804802
12/14/22 16:00,32.28,48819481
12/15/22 16:00,31.77,49027584
12/16/22 16:00,31.7,61795197
12/19/22 16:00,32.06,38374105
12/20/22 16:00,32.19,35561072
12/21/22 16:00,32.68,32543963
12/22/22 16:00,32.39,30234425
12/23/22 16:00,32.47,21378584
12/27/22 16:00,32.53,22776092
12/28/22 16:00,32.77,30541004
12/29/22 16:00,33.14,22252908
12/30/22 16:00,33.12,28198915
1/3/23 16:00,33.51,35221501
1/4/23 16:00,34.14,41998548
1/5/23 16:00,34.07,34177048
1/6/23 16:00,34.41,34068731
1/9/23 16:00,33.89,43818820
1/10/23 16:00,34.12,35096022
1/11/23 16:00,34.38,36783730
1/12/23 16:00,34.47,44230396
1/13/23 16:00,35.23,89667817
1/17/23 16:00,34.52,56458394
1/18/23 16:00,33.72,54517763
1/19/23 16:00,33.23,42707120
1/20/23 16:00,33.85,45004365
1/23/23 16:00,34.32,33683307
1/24/23 16:00,34.57,26716730
1/25/23 16:00,34.87,28859718
1/26/23 16:00,35.34,30035463
1/27/23 16:00,35.45,29964907
1/30/23 16:00,35.3,27353495
1/31/23 16:00,35.48,38917437
2/1/23 16:00,35.92,44438726
2/2/23 16:00,36.13,33729056
2/3/23 16:00,36.43,37411682
2/6/23 16:00,36.37,29463202
2/7/23 16:00,36.77,44100247
2/8/23 16:00,36.5,28032757
2/9/23 16:00,35.72,35257061
2/10/23 16:00,35.58,32898903
2/13/23 16:00,35.65,29163863
2/14/23 16:00,35.62,33625202
2/15/23 16:00,35.56,23516510
2/16/23 16:00,35.28,22681070
2/17/23 16:00,35.35,28562699
2/21/23 16:00,34.52,37068852
2/22/23 16:00,34.29,38550421
2/23/23 16:00,34.26,28487971
2/24/23 16:00,34.21,27046643
2/27/23 16:00,34.21,30137549
2/28/23 16:00,34.3,32620619
3/1/23 16:00,34.14,29281552
3/2/23 16:00,33.49,44623368
3/3/23 16:00,34.16,39109090
3/6/23 16:00,34.09,36646675
3/7/23 16:00,33,52855294
3/8/23 16:00,32.56,40045598
3/9/23 16:00,30.54,112457859
3/10/23 16:00,30.27,165330889
3/13/23 16:00,28.51,218403265
3/14/23 16:00,28.76,154255805
3/15/23 16:00,28.49,131104413
3/16/23 16:00,28.97,108449495
3/17/23 16:00,27.82,130665529
3/20/23 16:00,27.75,81441225
3/21/23 16:00,28.59,84854840
3/22/23 16:00,27.64,76925884
3/23/23 16:00,26.97,105335937
3/24/23 16:00,27.14,96978311
3/27/23 16:00,28.49,102469809
3/28/23 16:00,28.12,63416517
3/29/23 16:00,28.67,62666372
3/30/23 16:00,28.3,67427125
3/31/23 16:00,28.6,56482080
4/3/23 16:00,28.59,51996802
4/4/23 16:00,27.98,56233295
4/5/23 16:00,27.64,47799353
4/6/23 16:00,27.84,41216577
4/10/23 16:00,27.94,40572740
4/11/23 16:00,28.71,58761187
4/12/23 16:00,28.48,44313339
4/13/23 16:00,28.56,52261420
4/14/23 16:00,29.52,81110834
